month,conf_weighted_cur,n_articles_cur,conf_weighted_live,n_articles_live,diff
2020-03-01,-0.14303668426548422,181,-0.09805404769279229,5.0,0.04498263657269193
2020-04-01,-0.022982198663661555,130,0.13420325168408453,1.0,0.1571854503477461
2020-05-01,-0.032983268496256164,104,-0.010679229632937545,2.0,0.02230403886331862
2020-06-01,0.12159788970279589,108,0.0017389138229191303,1.0,-0.11985897587987676
2020-07-01,-0.026879008488801086,103,,,
2020-08-01,0.1920896609149105,83,0.49988865898922086,1.0,0.3077989980743103
2020-09-01,0.08872710472157527,87,0.975907424220828,2.0,0.8871803194992527
2020-10-01,0.008302254825576127,92,,,
2020-11-01,0.028825395085996037,86,-0.09621261753860973,2.0,-0.12503801262460576
2020-12-01,0.1675513012616078,81,,,
2021-01-01,0.21992756316069667,89,0.7691339198832703,2.0,0.5492063567225736
2021-02-01,0.14580975073488048,94,-0.3031001598145744,2.0,-0.44890991054945484
2021-03-01,0.14236425643839806,120,0.9936773689114489,1.0,0.8513131124730509
2021-04-01,0.1554882957871365,100,,,
2021-05-01,-0.12290592260997699,27,0.31379037412722566,2.0,0.43669629673720267
