date,n_articles,mean_score,share_pos_minus_neg,conf_weighted,ci_lo,ci_hi,confidence
2024-04-06,5,-0.3962421072879806,-0.19999999999999996,-0.45434479910754905,-0.8851206048572063,0.07783970104832538,0.5591156186843695
2024-04-07,7,-0.0667131917351591,0.4285714285714286,-0.09570865460516143,-0.6870708626368726,0.5069078970782094,0.5395925412691303
2024-04-08,17,0.15688474153113716,0.411764705882353,0.1313607449338263,-0.2678333980262889,0.5410740492673285,0.6890597761942395
2024-04-09,15,-0.02290893556394925,0.06666666666666665,0.010465426953280735,-0.31649154642261085,0.3509090980076629,0.6898460220423916
2024-04-10,21,-0.18359868129482493,-0.04761904761904767,-0.22182779745479256,-0.5468300652546559,0.12400348413309999,0.6592209295486384
2024-04-11,22,0.10550379084518434,0.18181818181818182,0.1927537516828541,-0.15577124806216308,0.4878415894572634,0.5780371375788433
2024-04-12,18,0.19082127329117307,0.22222222222222227,0.1967573947517184,-0.16567108854061652,0.5576565120522662,0.7148547139684197
2024-04-13,4,0.09562160703353588,0.0,0.06330195960705867,-0.01816373875110488,0.25640452353344956,0.5075765980189221
2024-04-14,3,-0.2722027388711771,-0.3333333333333333,-0.6049715836749565,-0.9749925695359708,0.2117238864302635,0.4786489226861117
2024-04-15,8,-0.4627517400076613,-0.5,-0.6557761547173275,-0.9123422945751042,-0.2614097236043179,0.614098439051169
2024-04-16,32,0.05877638687161379,0.1875,0.1292443965645692,-0.14979487270241784,0.3844529620642033,0.7257840683270909
2024-04-17,30,-0.1739187158450174,-0.1333333333333333,-0.15378602771949407,-0.4569516950859174,0.15486006255624432,0.5260692483051198
2024-04-18,23,-0.0036750323412454,0.13043478260869562,-0.015418708720002694,-0.306732939144991,0.29428318187335123,0.6280039805103614
2024-04-19,13,0.1615953276766679,0.07692307692307687,0.2924428907093251,-0.019200649644820534,0.5892575540316511,0.5560721048026258
2024-04-20,2,0.17661031335592273,0.0,0.39263322918716925,-0.4451026171445846,0.79832324385643,0.38095639607950804
2024-04-21,8,0.26023134701972594,0.5,0.38591347566093587,-0.1093273277410731,0.7744611063435921,0.6701464143135303
2024-04-22,4,0.3138857638841728,0.5,0.32352196846556325,-0.6651468939284982,0.9715658945464716,0.7430604035961601
2024-04-23,11,-0.11302534039978954,0.09090909090909088,-0.101292925022334,-0.5108045634947385,0.31227726072372525,0.6803014517683388
2024-04-24,4,-0.03429575474001474,0.5,-0.283056563119993,-0.8006184985354345,0.466811711104146,0.5231426827987875
